"AUA Name","Auth","FP","Demo","Iris","Otp"
"National Informatics Centre","710485330","269267954","236275306","12695561","135909801"
"State Bank of India","170496466","158575023","5633621","608664","570720"
"National Health Agency","151054469","6223270","114220254","675075","27759155"
"UIDAI Online Services","119253746","29636698","0","2627565","85818163"
"Bank of Baroda","75914353","69120515","1317916","128199","1971684"
"PUNJAB NATIONAL BANK","70434617","58515525","3373429","200323","498707"
"India Post Payments Bank","68331707","62850948","493534","141930","391449"
"Directorate of Income Tax","57637528","0","450196","0","57183620"
"Union Bank of India","40569201","35275380","0","74704","1435954"
"Bharti Airtel","34417041","4354138","0","0","424105"
