"day","value"
"01-Nov","73831842"
"02-Nov","43605809"
"03-Nov","74863463"
"04-Nov","80783665"
"05-Nov","65386243"
"06-Nov","80297373"
"07-Nov","80036350"
"08-Nov","70544328"
"09-Nov","48773668"
"10-Nov","86777348"
"11-Nov","92302557"
"12-Nov","93533128"
"13-Nov","91089668"
"14-Nov","85136613"
"15-Nov","84105708"
"16-Nov","52037282"
"17-Nov","83415741"
"18-Nov","88874418"
"19-Nov","90338752"
"20-Nov","94585130"
"21-Nov","89792971"
"22-Nov","74726145"
"23-Nov","48065907"
"24-Nov","86982579"
"25-Nov","81102207"
"26-Nov","76625655"
"27-Nov","82399791"
"28-Nov","80493165"
"29-Nov","79195673"
"30-Nov","49023341"
